Model,accuracy,precision,recall,f1,avg_rank
Deep Neural Network,0.9683590875643856,0.9690721649484536,0.9676470588235294,0.9683590875643856,1.0
SVM,0.9617365710080942,0.9672619047619048,0.9558823529411764,0.9615384615384616,2.0
Logistic Regression,0.9006622516556292,0.9025110782865584,0.8985294117647059,0.9005158437730287,3.25
Perceptron,0.8999264164827079,0.9047619047619048,0.8941176470588236,0.8994082840236687,3.75
