Model,Accuracy,Deepfake Precision,Deepfake Recall,Deepfake F1,Bonafide Precision,Bonafide Recall,Bonafide F1,Macro Avg F1
Logistic Regression,0.8991905813097866,0.8973607038123167,0.9013254786450663,0.899338721528288,0.9010339734121122,0.8970588235294118,0.899042004421518,0.899190362974903
SVM,0.9624724061810155,0.9577259475218659,0.96759941089838,0.9626373626373627,0.9673105497771174,0.9573529411764706,0.9623059866962306,0.9624716746667966
Perceptron,0.8999264164827079,0.8951965065502183,0.9057437407952872,0.9004392386530015,0.9047619047619048,0.8941176470588236,0.8994082840236687,0.8999237613383351
Deep Neural Network,0.9690949227373068,0.9676945668135095,0.9705449189985272,0.9691176470588235,0.9705014749262537,0.9676470588235294,0.9690721649484536,0.9690949060036386
